source,sourceLabel,target,targetLabel,richtingBeschrijving,rolLabel,start,eind,punt
http://www.wikidata.org/entity/Q2663876,Sint-Lodewijkscollege,http://www.wikidata.org/entity/Q110039170,Leonardus Nuttin,Onderlinge Correspondentie (Source → Target),leerkracht,1850-01-01T00:00:00Z,1851-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q2663876,Sint-Lodewijkscollege,http://www.wikidata.org/entity/Q2182589,Pieter Busschaert,Onderlinge Correspondentie (Source → Target),leerkracht,1864-12-01T00:00:00Z,1877-09-19T00:00:00Z,
http://www.wikidata.org/entity/Q2663876,Sint-Lodewijkscollege,http://www.wikidata.org/entity/Q118151362,Victor Leonardus Franciscus Goethals,Onderlinge Correspondentie (Source → Target),leerkracht,1889-10-03T00:00:00Z,1905-09-22T00:00:00Z,
http://www.wikidata.org/entity/Q2663876,Sint-Lodewijkscollege,http://www.wikidata.org/entity/Q118136722,Pieter Benoit,Onderlinge Correspondentie (Source → Target),leerkracht,1845-01-01T00:00:00Z,1847-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q2663876,Sint-Lodewijkscollege,http://www.wikidata.org/entity/Q115825992,Emile Tillieux,Onderlinge Correspondentie (Source → Target),leerkracht,1884-01-01T00:00:00Z,1889-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q2663876,Sint-Lodewijkscollege,http://www.wikidata.org/entity/Q115811038,Emile Dambre,Onderlinge Correspondentie (Source → Target),leerkracht,1864-10-02T00:00:00Z,1869-01-13T00:00:00Z,
http://www.wikidata.org/entity/Q2663876,Sint-Lodewijkscollege,http://www.wikidata.org/entity/Q115839975,Joannes Vandenweghe,Onderlinge Correspondentie (Source → Target),leerkracht,1875-10-01T00:00:00Z,1877-10-01T00:00:00Z,
http://www.wikidata.org/entity/Q2663876,Sint-Lodewijkscollege,http://www.wikidata.org/entity/Q110039159,Jan Craeynest,Onderlinge Correspondentie (Source → Target),leerkracht,1883-09-22T00:00:00Z,1892-08-12T00:00:00Z,
http://www.wikidata.org/entity/Q2663876,Sint-Lodewijkscollege,http://www.wikidata.org/entity/Q2779054,Leonard Lodewijk De Bo,Onderlinge Correspondentie (Source → Target),leerkracht,1851-10-01T00:00:00Z,1873-07-09T00:00:00Z,
http://www.wikidata.org/entity/Q2663876,Sint-Lodewijkscollege,http://www.wikidata.org/entity/Q115979543,Cyriel Vanden Berghe,Onderlinge Correspondentie (Source → Target),leerkracht,1881-09-16T00:00:00Z,1887-09-05T00:00:00Z,
http://www.wikidata.org/entity/Q2663876,Sint-Lodewijkscollege,http://www.wikidata.org/entity/Q115844105,Augustin Van Becelaere,Onderlinge Correspondentie (Source → Target),leerkracht,1846-10-01T00:00:00Z,1858-02-18T00:00:00Z,
http://www.wikidata.org/entity/Q2663876,Sint-Lodewijkscollege,http://www.wikidata.org/entity/Q3032807,Henri Rommel,Onderlinge Correspondentie (Source → Target),leerkracht,1883-09-01T00:00:00Z,1896-09-26T00:00:00Z,
http://www.wikidata.org/entity/Q2663876,Sint-Lodewijkscollege,http://www.wikidata.org/entity/Q115835605,Emiel Minne,Onderlinge Correspondentie (Source → Target),leerkracht,1851-01-01T00:00:00Z,1878-09-11T00:00:00Z,
http://www.wikidata.org/entity/Q2663876,Sint-Lodewijkscollege,http://www.wikidata.org/entity/Q2684959,Ferdinand Van de Putte,Onderlinge Correspondentie (Source → Target),leerkracht,1834-01-01T00:00:00Z,1843-08-01T00:00:00Z,
http://www.wikidata.org/entity/Q2663876,Sint-Lodewijkscollege,http://www.wikidata.org/entity/Q110039178,Pieter Baes,Onderlinge Correspondentie (Source → Target),leerkracht,1872-09-23T00:00:00Z,1879-04-23T00:00:00Z,
http://www.wikidata.org/entity/Q2663876,Sint-Lodewijkscollege,http://www.wikidata.org/entity/Q115839353,Eduard Verraes,Onderlinge Correspondentie (Source → Target),leerkracht,1851-12-01T00:00:00Z,1859-12-01T00:00:00Z,
http://www.wikidata.org/entity/Q2663876,Sint-Lodewijkscollege,http://www.wikidata.org/entity/Q115818849,Isidoor Hemeryck,Onderlinge Correspondentie (Source → Target),leerkracht,1868-07-01T00:00:00Z,1872-09-01T00:00:00Z,
http://www.wikidata.org/entity/Q2663876,Sint-Lodewijkscollege,http://www.wikidata.org/entity/Q115837342,Constantinus Roelandts,Onderlinge Correspondentie (Source → Target),leerkracht,1857-10-01T00:00:00Z,1863-09-01T00:00:00Z,
http://www.wikidata.org/entity/Q2663876,Sint-Lodewijkscollege,http://www.wikidata.org/entity/Q115820945,Edmond Houtave,Onderlinge Correspondentie (Source → Target),leerkracht,1864-01-10T00:00:00Z,1864-12-28T00:00:00Z,
http://www.wikidata.org/entity/Q2663876,Sint-Lodewijkscollege,http://www.wikidata.org/entity/Q981444,Hugo Verriest,Onderlinge Correspondentie (Source → Target),leerkracht,1864-06-09T00:00:00Z,1867-09-16T00:00:00Z,
http://www.wikidata.org/entity/Q2663876,Sint-Lodewijkscollege,http://www.wikidata.org/entity/Q3032807,Henri Rommel,Onderlinge Correspondentie (Source → Target),leerkracht,1874-09-01T00:00:00Z,1883-09-01T00:00:00Z,
http://www.wikidata.org/entity/Q2663876,Sint-Lodewijkscollege,http://www.wikidata.org/entity/Q115982545,Franciscus-Xaverius Mervillie,Onderlinge Correspondentie (Source → Target),leerkracht,1872-02-07T00:00:00Z,1879-09-17T00:00:00Z,
http://www.wikidata.org/entity/Q2663876,Sint-Lodewijkscollege,http://www.wikidata.org/entity/Q115979418,Aloysius Vandemaele,Onderlinge Correspondentie (Source → Target),leerkracht,1859-10-01T00:00:00Z,1861-04-10T00:00:00Z,
http://www.wikidata.org/entity/Q2663876,Sint-Lodewijkscollege,http://www.wikidata.org/entity/Q118175361,Marcel Van Dromme,Onderlinge Correspondentie (Source → Target),leerkracht,1896-04-05T00:00:00Z,1907-06-07T00:00:00Z,
http://www.wikidata.org/entity/Q2663876,Sint-Lodewijkscollege,http://www.wikidata.org/entity/Q115844668,Leonardus Vandemaele,Onderlinge Correspondentie (Source → Target),leerkracht,1863-10-14T00:00:00Z,1864-09-27T00:00:00Z,
http://www.wikidata.org/entity/Q2663876,Sint-Lodewijkscollege,http://www.wikidata.org/entity/Q115813641,Rijkaart Carette,Onderlinge Correspondentie (Source → Target),leerkracht,1869-09-11T00:00:00Z,1883-03-03T00:00:00Z,
http://www.wikidata.org/entity/Q2663876,Sint-Lodewijkscollege,http://www.wikidata.org/entity/Q115982548,Isidorus Fraeys,Onderlinge Correspondentie (Source → Target),leerkracht,1873-09-18T00:00:00Z,1878-08-19T00:00:00Z,
http://www.wikidata.org/entity/Q2663876,Sint-Lodewijkscollege,http://www.wikidata.org/entity/Q115818424,Achiel Piepers,Onderlinge Correspondentie (Source → Target),leerkracht,1896-09-10T00:00:00Z,1908-06-26T00:00:00Z,
http://www.wikidata.org/entity/Q2663876,Sint-Lodewijkscollege,http://www.wikidata.org/entity/Q113681935,Victor Van Coillie,Onderlinge Correspondentie (Source → Target),leerkracht,1867-01-01T00:00:00Z,1875-08-21T00:00:00Z,
http://www.wikidata.org/entity/Q2663876,Sint-Lodewijkscollege,http://www.wikidata.org/entity/Q118142378,Alfons Bouckaert,Onderlinge Correspondentie (Source → Target),leerkracht,1891-12-10T00:00:00Z,1905-01-24T00:00:00Z,
http://www.wikidata.org/entity/Q2663876,Sint-Lodewijkscollege,http://www.wikidata.org/entity/Q115979994,Henricus De Badts,Onderlinge Correspondentie (Source → Target),leerkracht,1864-01-01T00:00:00Z,1864-08-19T00:00:00Z,
http://www.wikidata.org/entity/Q2663876,Sint-Lodewijkscollege,http://www.wikidata.org/entity/Q98322098,Cyriel Delaere,Onderlinge Correspondentie (Source → Target),leerkracht,1887-12-10T00:00:00Z,1898-11-23T00:00:00Z,
http://www.wikidata.org/entity/Q116620790,Sophia Elizabeth Peeters,http://www.wikidata.org/entity/Q336977,Guido Gezelle,Relevant Persoon (Zender) → Guido (Ontvanger),briefschrijver,,,1897-01-16T00:00:00Z
http://www.wikidata.org/entity/Q175669,Stijn Streuvels,http://www.wikidata.org/entity/Q2190493,Gustaaf Verriest,Onderlinge Correspondentie (Source → Target),briefschrijver,,,1903-01-21T00:00:00Z
http://www.wikidata.org/entity/Q175669,Stijn Streuvels,http://www.wikidata.org/entity/Q336977,Guido Gezelle,Relevant Persoon (Zender) → Guido (Ontvanger),briefschrijver,1897-04-14T00:00:00Z,1898-10-31T00:00:00Z,
http://www.wikidata.org/entity/Q116621828,Stéphanie Hendryckx,http://www.wikidata.org/entity/Q336977,Guido Gezelle,Relevant Persoon (Zender) → Guido (Ontvanger),briefschrijver,1873-01-10T00:00:00Z,1873-04-16T00:00:00Z,
http://www.wikidata.org/entity/Q56036026,Taco Hajo de Beer,http://www.wikidata.org/entity/Q336977,Guido Gezelle,Relevant Persoon (Zender) → Guido (Ontvanger),briefschrijver,1882-01-02T00:00:00Z,1887-01-12T00:00:00Z,
http://www.wikidata.org/entity/Q116620970,Teresa Hercy,http://www.wikidata.org/entity/Q336977,Guido Gezelle,Relevant Persoon (Zender) → Guido (Ontvanger),briefschrijver,,,1862-01-07T00:00:00Z
http://www.wikidata.org/entity/Q2393557,Theodoor Sevens,http://www.wikidata.org/entity/Q2099446,Amaat Joos,Onderlinge Correspondentie (Source → Target),Amaat Joos,,,1886-09-30T00:00:00Z
http://www.wikidata.org/entity/Q2393557,Theodoor Sevens,http://www.wikidata.org/entity/Q336977,Guido Gezelle,Relevant Persoon (Zender) → Guido (Ontvanger),vriend,,,
